Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,PromotionGapRatio,RoleStagnationIndex,TrainingIntensityScore,ManagerStabilityIndicator,CareerVelocityScore,PromotionMomentum,CompensationGrowthProxy,CareerSatisfactionIndex,OrgStabilityScore,EmployeeDevelopmentScore,RetentionOpportunityIndex,LeadershipExposureScore,EngagementCompositeScore,BurnoutRiskProxy,CareerAccelerationScore,PromotionGapScore,RetentionScore,StagnationScore,GrowthPotentialScore,ManagerialInfluenceScore,CompositeRisk,RiskTier,Cluster,ClusterLabel,PCA1,PCA2
35,0,Travel_Rarely,809,Research & Development,16,3,Medical,1,Male,84,4,1,Laboratory Technician,2,Married,2426,16479,0,No,13,3,3,1,6,5,3,5,4,0,3,0.0,0.5714285714285714,0.8333333333333334,0.5,0.14285714285714285,1.0,2.4235764235764234,3.0,2.0,7.6,0.24285714285714285,1.9,2.2,0.31551724137931036,39.0,0.0,24.285714285714285,57.14285714285714,58.46153846153845,50.0,26.857142857142858,Low Risk,4,Career Explorers,-0.9348256030355794,-0.46064888768941425
29,0,Travel_Rarely,153,Research & Development,15,2,Life Sciences,4,Female,49,2,2,Laboratory Technician,3,Single,4193,12682,0,Yes,12,3,4,0,10,3,3,9,5,0,8,0.0,0.45454545454545453,0.3,0.8,0.18181818181818182,1.0,2.0954522738630685,2.6666666666666665,4.0,6.600000000000001,0.246969696969697,1.6,3.5,0.7051724137931035,36.0,0.0,24.6969696969697,45.45454545454545,50.76923076923078,80.0,23.515151515151516,Low Risk,3,Stable Contributors,-0.7383655334402056,0.947416493968523
31,0,Travel_Rarely,670,Research & Development,26,1,Life Sciences,1,Male,31,3,1,Research Scientist,3,Divorced,2911,15170,1,No,17,3,4,1,5,1,2,5,2,4,3,0.6666666666666666,0.3333333333333333,0.16666666666666666,0.5,0.16666666666666666,0.2,2.908091908091908,2.6666666666666665,2.5,8.0,0.45,1.5999999999999999,2.55,0.4189655172413793,10.2,26.666666666666668,45.0,33.33333333333333,61.53846153846154,50.0,36.0,Medium Risk,0,Fast-Track Performers,2.1721272543570125,-0.22339384948960908
34,0,Travel_Rarely,1346,Research & Development,19,2,Medical,2,Male,93,3,1,Laboratory Technician,4,Divorced,2661,8758,0,No,11,3,3,1,3,2,3,2,2,1,2,0.3333333333333333,0.5,0.6666666666666666,0.6666666666666666,0.25,0.5,2.658341658341658,3.3333333333333335,2.5,5.9,0.3083333333333333,1.5999999999999999,3.0500000000000003,0.346551724137931,16.5,6.666666666666667,30.83333333333333,50.0,45.38461538461539,66.66666666666666,29.333333333333332,Low Risk,3,Stable Contributors,0.8822793671930547,1.5343997528602151
28,1,Travel_Rarely,103,Research & Development,24,3,Life Sciences,3,Male,50,2,1,Laboratory Technician,3,Single,2028,12947,5,Yes,14,3,2,0,6,4,3,4,2,0,3,0.0,0.2857142857142857,0.8,0.6,0.14285714285714285,1.0,2.0259740259740258,2.6666666666666665,2.5,7.700000000000001,0.20476190476190478,1.1,2.75,0.7982758620689656,42.0,0.0,20.476190476190478,28.57142857142857,59.23076923076924,60.0,16.761904761904763,Low Risk,3,Stable Contributors,-1.367244458681233,-0.07865299800564553
29,0,Travel_Rarely,1389,Research & Development,21,4,Life Sciences,2,Female,51,4,3,Manufacturing Director,1,Divorced,9980,10195,1,No,11,3,3,1,10,1,3,10,9,8,8,0.7272727272727273,0.8181818181818182,0.09090909090909091,0.7272727272727273,0.2727272727272727,0.1111111111111111,3.3255581472842386,2.6666666666666665,2.5,5.6,0.5924242424242425,2.9000000000000004,2.1500000000000004,0.36724137931034484,3.6666666666666665,53.333333333333336,59.24242424242425,81.81818181818183,43.07692307692307,72.72727272727273,64.24242424242425,Medium Risk,0,Fast-Track Performers,3.812666539290247,-0.6101810248177454
32,0,Travel_Rarely,334,Research & Development,5,2,Life Sciences,1,Male,80,4,1,Research Scientist,2,Divorced,3298,15053,0,Yes,12,3,4,2,7,5,2,6,2,0,5,0.0,0.25,0.7142857142857143,0.7142857142857143,0.125,1.0,3.294705294705295,2.6666666666666665,2.5,7.200000000000001,0.19583333333333336,2.1,2.25,0.6017241379310345,36.0,0.0,19.583333333333336,25.0,55.38461538461539,71.42857142857143,15.333333333333336,Low Risk,4,Career Explorers,-1.1291104468783606,-0.6719627260194609
22,0,Non-Travel,1123,Research & Development,16,2,Medical,4,Male,96,4,1,Laboratory Technician,4,Divorced,2935,7324,1,Yes,13,3,2,2,1,2,2,1,0,0,0,0.0,0.0,1.0,0.0,0.5,1.0,2.932067932067932,3.3333333333333335,3.0,6.699999999999999,0.06666666666666665,2.1,3.1,0.5655172413793104,39.0,0.0,6.666666666666665,0.0,51.53846153846153,0.0,2.666666666666666,Low Risk,2,High-Risk Stagnation,-3.200772805446354,1.5920522164666566
53,0,Travel_Rarely,1219,Sales,2,4,Life Sciences,1,Female,78,2,4,Manager,4,Married,15427,22021,2,No,16,3,3,0,31,3,3,25,8,3,7,0.11538461538461539,0.25,0.11538461538461539,0.2692307692307692,0.125,0.25,3.855786053486628,3.0,2.0,8.200000000000001,0.20288461538461539,2.6,2.8000000000000003,0.1706896551724138,12.0,20.0,20.28846153846154,25.0,63.07692307692309,26.923076923076923,21.615384615384617,Low Risk,3,Stable Contributors,-0.014075431874135893,0.6527311119238901
38,0,Travel_Rarely,371,Research & Development,2,3,Life Sciences,4,Male,45,3,1,Research Scientist,4,Single,3944,4306,5,Yes,11,3,3,0,6,3,3,3,2,1,2,0.25,0.2857142857142857,0.75,0.5,0.14285714285714285,0.5,3.94005994005994,3.3333333333333335,3.5,6.200000000000001,0.22559523809523807,1.4,3.5500000000000003,0.5706896551724139,16.5,6.666666666666667,22.559523809523807,28.57142857142857,47.6923076923077,50.0,19.595238095238095,Low Risk,3,Stable Contributors,0.13646024475930835,2.2565338472468426
24,0,Non-Travel,673,Research & Development,11,2,Other,1,Female,96,4,2,Manufacturing Director,3,Divorced,4011,8232,0,No,18,3,4,1,5,5,2,4,2,1,3,0.2,0.3333333333333333,1.0,0.6,0.3333333333333333,0.5,2.004497751124438,3.0,2.5,9.6,0.2533333333333333,2.4000000000000004,2.55,0.11379310344827585,27.0,6.666666666666667,25.33333333333333,33.33333333333333,73.84615384615384,60.0,22.133333333333333,Low Risk,3,Stable Contributors,-0.2305099855878234,0.06301900254545477
36,1,Travel_Rarely,1218,Sales,9,4,Life Sciences,3,Male,82,2,1,Sales Representative,1,Single,3407,6986,7,No,23,4,2,0,10,4,3,5,3,0,3,0.0,0.2727272727272727,0.6666666666666666,0.5,0.09090909090909091,1.0,3.4035964035964037,2.0,2.5,11.6,0.2681818181818182,1.1,2.1500000000000004,0.24310344827586206,92.0,0.0,26.81818181818182,27.27272727272727,89.23076923076923,50.0,18.909090909090907,Low Risk,1,Promotion-Stalled,-2.2654095245864165,-2.6899619892533257
34,0,Travel_Rarely,419,Research & Development,7,4,Life Sciences,1,Female,53,3,3,Research Director,2,Single,11994,21293,0,No,11,3,3,0,13,4,3,12,6,2,11,0.15384615384615385,0.42857142857142855,0.3076923076923077,0.8461538461538461,0.21428571428571427,0.3333333333333333,3.9966677774075308,2.6666666666666665,2.0,6.5,0.29432234432234433,2.4,2.2,0.22241379310344828,11.0,13.333333333333334,29.432234432234434,42.857142857142854,50.0,84.61538461538461,28.630036630036628,Low Risk,4,Career Explorers,1.0959575045488315,-0.49705272912574916
21,0,Travel_Rarely,391,Research & Development,15,2,Life Sciences,3,Male,96,3,1,Research Scientist,4,Single,1232,19281,1,No,14,3,4,0,0,6,3,0,0,0,0,0.0,0.0,6.0,0.0,1.0,1.0,1.2307692307692308,3.3333333333333335,3.5,8.3,0.06666666666666665,1.4,3.5500000000000003,0.30517241379310345,42.0,0.0,6.666666666666665,0.0,63.846153846153854,0.0,2.666666666666666,Low Risk,2,High-Risk Stagnation,-4.006905621999669,2.0869268708089126
34,1,Travel_Rarely,699,Research & Development,6,1,Medical,2,Male,83,3,1,Research Scientist,1,Single,2960,17102,2,No,11,3,3,0,8,2,3,4,2,1,3,0.2,0.2222222222222222,0.4,0.6,0.1111111111111111,0.5,2.957042957042957,2.3333333333333335,2.5,5.9,0.29222222222222216,1.4,2.1500000000000004,0.21206896551724136,16.5,6.666666666666667,29.222222222222214,22.22222222222222,45.38461538461539,60.0,20.355555555555554,Low Risk,4,Career Explorers,0.5656886147845138,-1.0976686756980756
53,0,Travel_Rarely,1282,Research & Development,5,3,Other,3,Female,58,3,5,Manager,3,Divorced,19094,10735,4,No,11,3,4,1,26,3,2,14,13,4,8,0.26666666666666666,0.48148148148148145,0.2,0.5333333333333333,0.18518518518518517,0.2,3.8180363927214556,2.6666666666666665,3.5,6.200000000000001,0.34703703703703703,3.6,3.05,0.20172413793103447,6.6,26.666666666666668,34.7037037037037,48.148148148148145,47.6923076923077,53.333333333333336,36.32592592592592,Medium Risk,0,Fast-Track Performers,1.4892203153219834,0.5950876514768354
32,1,Travel_Frequently,1125,Research & Development,16,1,Life Sciences,2,Female,72,1,1,Research Scientist,1,Single,3919,4681,1,Yes,22,4,2,0,10,5,3,10,2,6,7,0.5454545454545454,0.18181818181818182,0.45454545454545453,0.6363636363636364,0.09090909090909091,0.14285714285714285,3.915084915084915,1.6666666666666667,2.0,11.5,0.4696969696969696,0.8,1.9000000000000001,0.8655172413793103,12.571428571428571,40.0,46.96969696969696,18.181818181818183,88.46153846153845,63.63636363636363,36.24242424242424,Medium Risk,0,Fast-Track Performers,2.0733135064885815,-2.68370034659445
42,0,Travel_Rarely,691,Sales,8,4,Marketing,3,Male,48,3,2,Sales Executive,2,Married,6825,21173,0,No,11,3,4,1,10,2,3,9,7,4,2,0.4,0.6363636363636364,0.2,0.2,0.18181818181818182,0.2,3.4107946026986506,2.6666666666666665,3.5,5.9,0.43242424242424243,2.1,2.95,0.23275862068965517,6.6,26.666666666666668,43.24242424242424,63.63636363636363,45.38461538461539,20.0,44.38787878787879,Medium Risk,0,Fast-Track Performers,1.8833438449142854,0.3972567136169681
44,0,Travel_Rarely,477,Research & Development,7,4,Medical,1,Female,42,2,3,Healthcare Representative,4,Married,10248,2094,3,No,14,3,4,1,24,4,3,22,6,5,17,0.21739130434782608,0.24,0.17391304347826086,0.7391304347826086,0.12,0.16666666666666666,3.4148617127624123,3.0,2.5,7.700000000000001,0.23608695652173914,2.3000000000000003,3.0500000000000003,0.22241379310344828,7.0,33.33333333333333,23.608695652173914,24.0,59.23076923076924,73.91304347826086,26.643478260869564,Low Risk,3,Stable Contributors,0.9418034188150235,1.0782532909025857
46,0,Travel_Rarely,705,Sales,2,4,Marketing,2,Female,83,3,5,Manager,1,Single,18947,22822,3,No,12,3,4,0,22,2,2,2,2,2,1,0.6666666666666666,0.08695652173913043,0.6666666666666666,0.3333333333333333,0.21739130434782608,0.3333333333333333,3.7886422715456907,2.0,3.0,6.300000000000001,0.45507246376811594,3.4,2.2,0.1706896551724138,12.0,13.333333333333334,45.507246376811594,8.695652173913043,48.46153846153847,33.33333333333333,24.81159420289855,Low Risk,0,Fast-Track Performers,1.661208834327342,-1.5827948630055049
33,0,Travel_Rarely,924,Research & Development,2,3,Medical,3,Male,78,3,1,Laboratory Technician,4,Single,2496,6670,4,No,11,3,4,0,7,3,3,1,1,0,0,0.0,0.125,1.5,0.0,0.125,1.0,2.4935064935064934,3.3333333333333335,3.5,6.200000000000001,0.09791666666666665,1.4,3.5500000000000003,0.1706896551724138,33.0,0.0,9.791666666666664,12.5,47.6923076923077,0.0,7.666666666666666,Low Risk,3,Stable Contributors,-2.3344386614681065,1.9932963568640036
44,0,Travel_Rarely,1459,Research & Development,10,4,Other,4,Male,41,3,2,Healthcare Representative,4,Married,6465,19121,2,Yes,13,3,4,0,9,5,4,4,2,1,3,0.2,0.2,1.0,0.6,0.2,0.5,3.2308845577211396,3.6666666666666665,4.0,7.6,0.15333333333333335,1.9,4.0,0.653448275862069,19.5,6.666666666666667,15.333333333333336,20.0,58.46153846153845,60.0,14.133333333333335,Low Risk,3,Stable Contributors,-0.4714340527030046,3.289634675279978
30,0,Travel_Rarely,125,Research & Development,9,2,Medical,4,Male,83,2,1,Laboratory Technician,3,Single,2206,16117,1,No,13,3,1,0,10,5,3,10,0,1,8,0.09090909090909091,0.0,0.45454545454545453,0.7272727272727273,0.09090909090909091,0.5,2.203796203796204,2.6666666666666665,2.5,7.6,0.16515151515151516,1.1,2.75,0.24310344827586206,19.5,6.666666666666667,16.515151515151516,0.0,58.46153846153845,72.72727272727273,8.606060606060606,Low Risk,3,Stable Contributors,-0.38486146800114607,0.12652464129966418
39,1,Travel_Rarely,895,Sales,5,3,Technical Degree,4,Male,56,3,2,Sales Representative,4,Married,2086,3335,3,No,14,3,3,1,19,6,4,1,0,0,0,0.0,0.0,3.0,0.0,0.1,1.0,1.0424787606196901,3.6666666666666665,3.5,8.3,0.03333333333333335,2.1,3.75,0.20172413793103447,42.0,0.0,3.333333333333335,0.0,63.846153846153854,0.0,1.333333333333334,Low Risk,3,Stable Contributors,-3.0134187056404604,2.566935170222119
24,1,Travel_Rarely,813,Research & Development,1,3,Medical,2,Male,61,3,1,Research Scientist,4,Married,2293,3020,2,Yes,16,3,1,1,6,2,2,2,0,2,0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.14285714285714285,0.3333333333333333,2.2907092907092905,3.0,1.5,7.9,0.3333333333333333,1.5999999999999999,2.35,0.560344827586207,16.0,13.333333333333334,33.33333333333333,0.0,60.769230769230774,0.0,17.333333333333332,Low Risk,0,Fast-Track Performers,0.607810275082265,0.07846708600800242
43,0,Travel_Rarely,1273,Research & Development,2,2,Medical,4,Female,72,4,1,Research Scientist,3,Divorced,2645,21923,1,No,12,3,4,2,6,3,2,5,3,1,4,0.16666666666666666,0.42857142857142855,0.5,0.6666666666666666,0.14285714285714285,0.5,2.6423576423576423,3.0,4.0,6.600000000000001,0.2654761904761905,2.1,3.3,0.1706896551724138,18.0,6.666666666666667,26.547619047619047,42.857142857142854,50.76923076923078,66.66666666666666,25.476190476190474,Low Risk,3,Stable Contributors,0.4776204035494804,1.2640698862775301
50,1,Travel_Rarely,869,Sales,3,2,Marketing,1,Male,86,2,1,Sales Representative,3,Married,2683,3810,1,Yes,14,3,3,0,3,2,3,3,2,0,2,0.0,0.5,0.5,0.5,0.25,1.0,2.6803196803196805,2.6666666666666665,2.0,7.1,0.25833333333333336,1.1,2.5,0.5810344827586207,42.0,0.0,25.833333333333336,50.0,54.61538461538461,50.0,25.333333333333336,Low Risk,4,Career Explorers,-1.1164663796699574,-0.44744378227399323
35,0,Travel_Rarely,890,Sales,2,3,Marketing,4,Female,97,3,1,Sales Representative,4,Married,2014,9687,1,No,13,3,1,0,2,3,3,2,2,2,2,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,2.011988011988012,3.3333333333333335,2.5,7.0,0.4666666666666666,1.4,3.0500000000000003,0.1706896551724138,13.0,13.333333333333334,46.666666666666664,66.66666666666666,53.84615384615385,66.66666666666666,42.666666666666664,Medium Risk,0,Fast-Track Performers,2.2939586862555355,1.3457460362478955
36,0,Travel_Rarely,852,Research & Development,5,4,Life Sciences,2,Female,82,2,1,Research Scientist,1,Married,3419,13072,9,Yes,14,3,4,1,6,3,4,1,1,0,0,0.0,0.14285714285714285,1.5,0.0,0.14285714285714285,1.0,3.4155844155844157,2.3333333333333335,3.0,7.4,0.20238095238095238,1.3,2.6,0.6017241379310345,42.0,0.0,20.238095238095237,14.285714285714285,56.92307692307692,0.0,12.38095238095238,Low Risk,2,High-Risk Stagnation,-2.059992512056819,-0.7934795719776783
33,0,Travel_Frequently,1141,Sales,1,3,Life Sciences,3,Female,42,4,2,Sales Executive,1,Married,5376,3193,2,No,19,3,1,2,10,3,3,5,3,1,3,0.16666666666666666,0.2727272727272727,0.5,0.5,0.18181818181818182,0.5,2.686656671664168,2.6666666666666665,2.0,9.4,0.2598484848484849,2.6,1.9000000000000001,0.3103448275862069,28.5,6.666666666666667,25.984848484848488,27.27272727272727,72.3076923076923,50.0,20.575757575757578,Low Risk,4,Career Explorers,-0.18611385475906736,-1.2359073243120096
35,0,Travel_Rarely,464,Research & Development,4,2,Other,3,Male,75,3,1,Laboratory Technician,4,Divorced,1951,10910,1,No,12,3,3,1,1,3,3,1,0,0,0,0.0,0.0,1.5,0.0,0.5,1.0,1.949050949050949,3.3333333333333335,3.0,6.600000000000001,0.06666666666666665,1.5999999999999999,3.3000000000000003,0.19137931034482758,36.0,0.0,6.666666666666665,0.0,50.76923076923078,0.0,2.666666666666666,Low Risk,2,High-Risk Stagnation,-3.1380435198445626,1.7752526810396945
27,0,Travel_Rarely,1240,Research & Development,2,4,Life Sciences,4,Female,33,3,1,Laboratory Technician,1,Divorced,2341,19715,1,No,13,3,4,1,1,6,3,1,0,0,0,0.0,0.0,3.0,0.0,0.5,1.0,2.3386613386613386,2.3333333333333335,4.0,7.9,0.16666666666666666,1.5999999999999999,2.9,0.1706896551724138,39.0,0.0,16.666666666666664,0.0,60.769230769230774,0.0,6.666666666666666,Low Risk,2,High-Risk Stagnation,-2.782774399420339,-0.399468494564676
26,1,Travel_Rarely,1357,Research & Development,25,3,Life Sciences,1,Male,48,1,1,Laboratory Technician,3,Single,2293,10558,1,No,12,3,3,0,1,2,2,1,0,0,1,0.0,0.0,1.0,0.5,0.5,1.0,2.2907092907092905,2.0,2.0,6.300000000000001,0.2,0.8,2.3,0.4086206896551724,36.0,0.0,20.0,0.0,48.46153846153847,50.0,8.0,Low Risk,2,High-Risk Stagnation,-1.9673779722139435,-1.434130167600687
27,0,Travel_Frequently,994,Sales,8,3,Life Sciences,4,Male,37,3,3,Sales Executive,3,Single,8726,2975,1,No,15,3,4,0,9,0,3,9,8,1,7,0.1,0.8,0.0,0.7,0.3,0.5,2.907697434188604,3.0,4.0,6.9,0.335,2.4,3.5,0.38275862068965516,22.5,6.666666666666667,33.5,80.0,53.07692307692308,70.0,39.4,Medium Risk,3,Stable Contributors,0.752027345265132,1.4664925831756888
30,0,Travel_Frequently,721,Research & Development,1,2,Medical,3,Female,58,3,2,Laboratory Technician,4,Single,4011,10781,1,No,23,4,4,0,12,2,3,12,8,3,7,0.23076923076923078,0.6153846153846154,0.15384615384615385,0.5384615384615384,0.15384615384615385,0.25,2.004497751124438,3.3333333333333335,3.5,11.0,0.30128205128205127,1.9,3.5500000000000003,0.3103448275862069,23.0,20.0,30.128205128205128,61.53846153846154,84.61538461538461,53.84615384615385,36.51282051282051,Medium Risk,3,Stable Contributors,0.7163595860565037,1.7247648347599283
41,1,Travel_Rarely,1360,Research & Development,12,3,Technical Degree,2,Female,49,3,5,Research Director,3,Married,19545,16280,1,No,12,3,4,0,23,0,3,22,15,15,8,0.6521739130434783,0.625,0.0,0.34782608695652173,0.20833333333333334,0.0625,3.9082183563287343,3.0,3.0,5.700000000000001,0.4845108695652174,3.4,3.0,0.27413793103448275,2.25,100.0,48.451086956521735,62.5,43.846153846153854,34.78260869565217,68.13043478260869,High Risk,0,Fast-Track Performers,2.807028855359154,1.0151705523756458
34,0,Non-Travel,1065,Sales,23,4,Marketing,2,Male,72,3,2,Sales Executive,3,Single,4568,10034,0,No,20,4,3,0,10,2,3,9,5,8,7,0.8,0.45454545454545453,0.2,0.7,0.18181818181818182,0.1111111111111111,2.2828585707146427,3.0,2.5,9.799999999999999,0.49363636363636365,1.9,2.75,0.23793103448275862,8.88888888888889,53.333333333333336,49.36363636363637,45.45454545454545,75.38461538461537,70.0,49.38181818181818,Medium Risk,0,Fast-Track Performers,2.85669083429451,0.31967601709984633
37,0,Travel_Rarely,408,Research & Development,19,2,Life Sciences,2,Male,73,3,1,Research Scientist,2,Married,3022,10227,4,No,21,4,1,0,8,1,3,1,0,0,0,0.0,0.0,0.5,0.0,0.1111111111111111,1.0,3.018981018981019,2.6666666666666665,1.5,9.9,0.13333333333333336,1.4,1.9500000000000002,0.346551724137931,84.0,0.0,13.333333333333336,0.0,76.15384615384616,0.0,5.333333333333335,Low Risk,1,Promotion-Stalled,-3.3847123039271323,-1.6324946130617715
46,0,Travel_Frequently,1211,Sales,5,4,Marketing,1,Male,98,3,2,Sales Executive,4,Single,5772,20445,4,Yes,21,4,3,0,14,4,3,9,6,0,8,0.0,0.4,0.4,0.8,0.13333333333333333,1.0,2.8845577211394304,3.3333333333333335,2.0,10.799999999999999,0.16666666666666666,1.9,2.8000000000000003,0.7517241379310344,84.0,0.0,16.666666666666664,40.0,83.07692307692307,80.0,18.666666666666664,Low Risk,1,Promotion-Stalled,-2.2321693447736104,0.42466671800442995
35,0,Travel_Rarely,1229,Research & Development,8,1,Life Sciences,4,Male,36,4,1,Laboratory Technician,4,Married,2269,4892,1,No,19,3,4,0,1,2,3,1,0,0,1,0.0,0.0,1.0,0.5,0.5,1.0,2.266733266733267,3.6666666666666665,4.0,9.100000000000001,0.03333333333333335,1.7,3.8000000000000003,0.23275862068965517,57.0,0.0,3.333333333333335,0.0,70.0,50.0,1.333333333333334,Low Risk,2,High-Risk Stagnation,-3.3802188591521825,2.6096552622975464
